발생년도,시도,시군구,전체발생량,총계_재활용,총계_소각,총계_매립,총계_기타
2015,대전,중구,233.2,156.5,32.1,44.6,0.0
2015,대전,서구,432.3,276.3,66.8,89.2,0.0
2015,대전,유성구,280.3,205.0,48.1,27.2,0.0
2015,대전,대덕구,195.3,141.0,37.5,16.8,0.0
2015,울산,중구,254.8,142.2,94.4,18.2,0.0
2015,울산,남구,407.4,211.8,176.6,19.0,0.0
2015,울산,동구,204.9,119.2,80.5,5.2,0.0
2015,울산,북구,231.0,109.6,96.5,24.9,0.0
2015,울산,울주군,208.6,110.9,94.7,3.0,0.0
2015,세종,세종특별자치시,100.3,56.3,35.4,8.6,0.0
2015,경기,수원시,915.6,456.9,458.7,0.0,0.0
2015,경기,성남시,781.8,430.2,347.9,3.7,0.0
2015,경기,의정부시,341.0,218.7,121.0,1.3,0.0
2015,경기,안양시,377.1,181.4,185.2,10.5,0.0
2015,경기,부천시,539.5,304.2,214.4,20.9,0.0
2015,경기,광명시,221.3,105.1,104.1,12.1,0.0
2015,경기,평택시,400.4,237.1,72.2,91.1,0.0
2015,경기,동두천시,71.1,41.8,29.3,0.0,0.0
2015,경기,안산시,480.2,273.8,137.6,68.8,0.0
2015,경기,고양시,743.4,460.4,220.0,63.0,0.0
2015,경기,과천시,51.9,11.7,39.1,1.1,0.0
2015,경기,구리시,127.6,67.0,54.9,5.7,0.0
2015,경기,남양주시,342.4,175.6,146.6,20.2,0.0
2015,경기,오산시,133.9,71.4,52.3,10.2,0.0
2015,경기,시흥시,251.4,169.0,18.9,63.5,0.0
2015,경기,군포시,176.2,82.4,93.8,0.0,0.0
2015,경기,의왕시,106.8,64.0,26.4,16.4,0.0
2015,경기,하남시,147.6,85.5,62.1,0.0,0.0
2015,경기,용인시,825.9,499.9,258.1,67.9,0.0
2015,경기,파주시,337.1,197.1,135.9,4.1,0.0
2015,경기,이천시,136.3,80.1,56.2,0.0,0.0
2015,경기,안성시,105.4,44.9,42.9,17.6,0.0
2015,경기,김포시,194.9,93.4,57.4,44.1,0.0
2015,경기,화성시,340.4,152.6,156.2,31.6,0.0
2015,경기,광주시,247.5,172.6,74.9,0.0,0.0
2015,경기,양주시,115.0,46.8,68.2,0.0,0.0
2015,경기,포천시,154.4,90.4,53.5,10.5,0.0
2015,경기,여주시,82.9,48.0,20.4,14.5,0.0
2015,경기,연천군,43.4,16.2,25.1,2.1,0.0
2015,경기,가평군,61.8,36.0,0.0,25.8,0.0
2015,경기,양평군,53.9,21.1,28.0,4.8,0.0
2015,강원,춘천시,388.5,241.7,127.9,18.9,0.0
2015,강원,원주시,216.3,157.4,0.0,58.9,0.0
2015,강원,강릉시,307.5,216.4,11.9,79.2,0.0
2015,강원,동해시,124.0,45.1,0.0,78.9,0.0
2015,강원,태백시,58.1,30.7,23.5,3.9,0.0
2015,강원,속초시,141.3,30.4,67.4,43.5,0.0
2015,강원,삼척시,97.7,38.4,0.0,59.3,0.0
2015,강원,홍천군,46.3,5.4,37.7,3.2,0.0
